Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
TERROR,21%,50+ Ratings,--,TERROR,Horror,English,Norman J. Warren,,,,"Jan 11, 2005",,1h 26m,,A British horror-film director (John Nolan) and his cousin (Carolyn Courage) inherit a burned witch's curse on their family.
THE SET UP,15%,50+ Ratings,--,THE SET UP,Mystery & Thriller,English,Strathford Hamilton,Julia Verdin,,,"Jan 17, 2017",,1h 43m,,"Charlie Thorpe (Billy Zane) is a brilliant security expert and convicted burglar. After being released from prison, Charlie resolves to turn his life around and takes a straight job designing the security for a newly renovated bank. However, his old criminal life catches up with him when his former prison mate, Kliff (James Russo), kidnaps his new girlfriend, Gina (Mia Sara). Charlie is left with few options when Kliff blackmails him into breaking into the bank."
THE PEARL,83%,Fewer than 50 Ratings,90%,THE PEARL,Drama,Spanish,Emilio Fernández,,Emilio Fernández,,,,1h 17m,,"A poor fisherman finds a magnificent pearl, but has to face the thieves who want to take it from him."
MONI,--,0 Ratings,--,MONI,"Romance, Action",Telugu,Sathyanarayana Ekari,,,,,,2h 0m,,A woman ends up on an island after fleeing a fight and has to learn how to survive.
MAN ALIVE,--,0 Ratings,--,MAN ALIVE,Comedy,English,Ray Enright,,"Edwin Blum, John Tucker Battle",,,,1h 10m,,A reportedly dead man (Pat O'Brien) haunts his wife (Ellen Drew) and her boyfriend.
NOBODY'S LIFE,77%,250+ Ratings,--,NOBODY'S LIFE,Drama,Spanish (Spain),Eduard Cortés,"Enrique Cerezo, Pedro Costa","Eduard Cortés, Piti Español","Oct 27, 2002  Original","Apr 25, 2006",,1h 43m,,"With a prestigious job and a loving family, Emilio (José Coronado) has the kind of life someone would kill for. But beneath it all is a horrible lie. Emilio's wife, Ágata (Adriana Ozores), becomes suspicious when Emilio picks up a guest pass to enter the Bank of Spain -- where, ostensibly, he works as an economist. But the house of cards starts crashing down when Emilio meets a needy college student, Rosana (Marta Etura), and begins an affair that proves disastrous."
LA TRAMPA,--,0 Ratings,--,LA TRAMPA,,Spanish,Frank Perozo,,,,,,,,Genre: Comedy
SANTO AND DRACULA'S TREASURE,57%,"1,000+ Ratings",--,SANTO AND DRACULA'S TREASURE,"Action, Adventure, Fantasy",Spanish,René Cardona,,Alfredo Salazar,,,,1h 21m,,Santo travels to the past to seize the treasure of Count Dracula and distribute it to needy families in Mexico.
THE DUKE,57%,Fewer than 50 Ratings,--,THE DUKE,"Comedy, Drama",English (United Kingdom),Philip Spink,Ian Fodie,"Craig Detweiler, Craig Detweiler, Anne Vince, Robert Vince","Dec 17, 1999  Limited","May 25, 2010",,1h 28m,Buena Vista Home Video,"A miserly Briton opposes his philanthropic uncle (John Neville), an American cousin (James Doohan) and the uncle's loyal dog."
DIABLA,--,0 Ratings,--,DIABLA,Mystery & Thriller,English,Christopher Longoria,,,,,,32m,,"Crime, betrayal and the supernatural threaten the romance between a young hoodlum and a ballerina."
BOO,38%,"5,000+ Ratings",--,BOO,Horror,English,Anthony C. Ferrante,David E. Allen,Anthony C. Ferrante,"May 13, 2005  Original","Mar 27, 2017",,1h 40m,,"Five college students (M. Steven Felty, Jilon Ghai) spend a terrifying night in an abandoned hospital rumored to be haunted."
ALATRISTE,47%,"10,000+ Ratings",17%,ALATRISTE,"Action, Adventure, Mystery & Thriller",Spanish (Spain),Agustín Díaz Yanes,"Álvaro Augustin, Antonio Cardenal",Agustín Díaz Yanes,,"Jun 8, 2010",,2h 27m,,"Capt. Alatriste (Viggo Mortensen), a heroic figure of Spain's 17th-century imperial wars, becomes a mercenary."
100 CRIES OF TERROR,--,Fewer than 50 Ratings,--,100 CRIES OF TERROR,Horror,Spanish,Ramon Obon,,,,,,1h 25m,,A murderer is haunted by his late wife and a man locked in a crypt learns that he isn't alone.
FRONTERAS,--,0 Ratings,--,FRONTERAS,,English,Andrew Dean,,,,,,,,Genre: Drama
THE LINE THAT DIVIDES,--,0 Ratings,--,THE LINE THAT DIVIDES,Drama,English,César Alejandro,César Alejandro,César Alejandro,,,,1h 31m,,The governments of Mexico and the United States fail to fix border issues.
DRINKING NIGHT,--,0 Ratings,--,DRINKING NIGHT,Comedy,Spanish,Yasfir Ortíz,Sofia Garrido,,,,,1h 27m,,"A woman who is left at the altar searches for the man who abandoned her. Her friends, her nosy aunt and her influential father go after her as they live adventures caused by alcohol and partying."
NO PLACE LIKE HOME,--,Fewer than 50 Ratings,--,NO PLACE LIKE HOME,Sci-Fi,English,Craig Clyde,Bryce W. Fillmore,Craig Clyde,,"Nov 16, 2006",,1h 23m,,"After a meteor shower, two children and their dog encounter a friendly alien."
BREAKING NEWS,65%,"2,500+ Ratings",79%,BREAKING NEWS,"Crime, Drama, Mystery & Thriller",Chinese,Johnnie To,"Cao Biao, Johnnie To, Buting Yang","Chan Hing-Kai, Tin-Shing Yip","May 22, 2004  Original","Mar 7, 2006",,1h 29m,Palm Pictures,"A tense firefight between bank robbery suspects and police is caught on video, and the footage is humiliating for the cops. So when master thief Yuen (Richie Ren) and his crew are tracked to a dilapidated apartment building, Commissioner Rebecca Fong (Kelly Chen) decides to attempt a new approach to fighting crime: media savvy. Rather than initiating a siege, Fong starts packaging the upcoming arrest as a reality show. But Yuen hasn't been caught yet, and he's ready to turn the tables on her."
KATHERINE,60%,Fewer than 50 Ratings,--,KATHERINE,Drama,English,Jeremy Kagan,Gerald I. Isenberg,Jeremy Kagan,,"May 21, 2002",,1h 38m,,"Katherine (Sissy Spacek) is a young debutante who is transformed into a revolutionary by the chaotic currents coursing through American society in the late 1960s and early 1970s. Her loving, middle-class parents (Art Carney, Jane Wyatt) enable her descent into extremism. Disappointed with her radical boyfriend (Henry Winkler), who is interested more in sex than in activism, she joins a group of leftist militants who contend that only violence can enact social and political change."
1985,--,0 Ratings,--,1985,"Comedy, Drama, Adventure",Hmong,Kang Vang,"David Kang, William Yang Realty",Kang Vang,"May 21, 2016  Limited","May 22, 2017",,1h 54m,,"When an adventurous teen discovers a secret map to a dragon, he and his three best friends embark on a journey to locate the mythical beast."
EROS,45%,"5,000+ Ratings",34%,EROS,"Drama, Romance",English,"Michelangelo Antonioni, Steven Soderbergh, Kar-Wai Wong","Jacques Bar, Raphael Berdugo, Gregory Jacobs, Domenico Procacci",,"Apr 8, 2005  Original","Jan 1, 2009",$188.2K,1h 49m,Warner Independent,"This anthology film features three different tales of passion. In ""The Hand,"" young tailor Zhang (Chen Chang) is attracted to high-priced prostitute Miss Hua (Gong Li). Next is ""Equilibrium,"" in which stressed businessman Nick (Robert Downey Jr.) explains his problems to unhelpful therapist Dr. Pearl (Alan Arkin). Finally, ""The Dangerous Thread of Things"" examines the relationship problems of Christopher (Christopher Buchholz) and Chloe (Regina Nemni), a couple on vacation in Tuscany."
LO INVISIBLE,--,0 Ratings,--,LO INVISIBLE,,Spanish,Javier Andrade,"María de Los Ángeles Palacios, Hanne-Lovise Skartveit, Daniel Andrade","Anahí Hoeneisen, Javier Andrade",,,,1h 25m,,Genre: Drama
MAKE BELIEVERS,--,0 Ratings,--,MAKE BELIEVERS,Mystery & Thriller,English,Scott R Sullivan,Scott R Sullivan,Scott R Sullivan,,"Jul 11, 2019",,15m,,A fiction author tries to convince everyone that she didn't kill her boyfriend.
YOU ARE MY SUNSHINE,--,0 Ratings,--,YOU ARE MY SUNSHINE,"Drama, Romance",Korean,"Park Jin-pyo, Ahn Suhyeon",,Park Jin-pyo,,"Aug 26, 2018",,2h 1m,,A farmer falls in love with a local delivery girl and finally wins her heart. Their newfound bliss is short-lived when she tests positive for HIV and her dark past comes to threaten her once again.
LIGHTER,--,0 Ratings,--,LIGHTER,"Comedy, Drama",English,Ronnie Gunter,"George Ducker, Jeremy Shockley",Ronnie Gunter,,,,1h 28m,,Redneck comedian Roman Clower pursues a career in acting.
ARIAS,--,0 Ratings,--,ARIAS,Sci-Fi,English,Drew Viehmann,Kezhia Rodriguez,Matthew Morrell,,"May 9, 2020",,29m,,A student and a hostage from another world must find a way to stop a war from happening.
MALIBU ROAD,93%,Fewer than 50 Ratings,--,MALIBU ROAD,"Mystery & Thriller, Romance",English,Montgomery Markland,,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti","Sep 9, 2021  Limited",,,1h 33m,Confidential Telepictures,"A UCLA professor and a student ingest LSD and become some of the first Americans to go on a psychedelic experience. Their trip takes a deadly turn until they escape an endless cycle of sex, drugs and murder."
THE DIVE,--,0 Ratings,--,THE DIVE,Drama,French (France),Delphine Le Courtois,,,,,,10m,,A boy on a diving board faces the unknown.
HER VIOLET KISS,--,0 Ratings,--,HER VIOLET KISS,Drama,English,,,,,,,7m,,"Made from decaying nitrate films from the 1920s, Bill Morrison built this short film around a large party scene where a woman finally meets a mysterious guest."
THE END OF THE WORLD,--,0 Ratings,--,THE END OF THE WORLD,"Sci-Fi, Drama",,August Blom,Ole Olsen,Otto Rung,"Apr 1, 1916  Original",,,1h 17m,Great Northern Film Company,"A rumor spreads that a comet is on a collision course with Earth, and an unscrupulous capitalist exploits the panic to make a killing on the stock market."
DISTANCE,76%,250+ Ratings,80%,DISTANCE,,,,,,,,,,,Director: Unknown Director
HILDA AND THE MOUNTAIN KING,92%,50+ Ratings,--,HILDA AND THE MOUNTAIN KING,"Kids & Family, Adventure, Fantasy, Animation",English (United Kingdom),Andy Coyle,"Steve Jacobson, Chantal Ling, Rachel Simon",Luke Pearson,,"Dec 30, 2021",,1h 25m,,"When Hilda wakes up in the body of a troll, she must use her wits and courage to get back home, become human again -- and save the city of Trolberg."
BACKSTAGE,--,0 Ratings,--,BACKSTAGE,Documentary,Korean,Lee Ro-woon,,,,,,1h 39m,,"The rise of Korean fighters in UFC leads to heightened interest and enthusiasm in mixed martial arts. Four aging MMA fighters, who had set out the path for the youngsters, endure intense training to fight another day."
SUPERSTAR,57%,Fewer than 50 Ratings,--,SUPERSTAR,,,,,,,,,,,Director: Tahmineh Milani
SILENCIO,--,0 Ratings,--,SILENCIO,Drama,Portuguese (Brazil),Diego Estteve,Diego Estteve,Costa Martins,,,,2h 7m,,A young writer copes with panic attacks and a toxic relationship as she finishes her first screenplay.
ONE NIGHT OFF,--,0 Ratings,--,ONE NIGHT OFF,Comedy,German,Martin Schreier,Christian Becker,"Murmel Clausen, Doron Wisotzky",,,,1h 44m,,"Noah, a young music buff, learns what it takes to look after a baby for a whole night."
THE SECRET SAUCE,--,0 Ratings,--,THE SECRET SAUCE,"Romance, Comedy",English,Philippe Gagnon,Ian Whitehead,Tatiana Krokar,,,,1h 30m,,"A Chicago marketing executive is dispatched to a cook-off in the Midwest to try and convince a restaurant owner to license his family's secret barbecue sauce recipe. As the pair of them get to know each other, friendship blossoms into something more."
THE TRAVELER,--,250+ Ratings,--,THE TRAVELER,,,Jonathan R. Skocik,,,,"May 22, 2017",,1h 44m,,"In an abandoned house deep in the woods of Pennsylvania, seven friends come into contact with an ancient evil infinitely more terrifying than anything they could ever imagine."
JOCKEY,57%,Fewer than 50 Ratings,93%,JOCKEY,Drama,English,Clint Bentley,"Clint Bentley, Greg Kwedar, Nancy Schafer","Clint Bentley, Greg Kwedar","Dec 29, 2021  Limited",,$108.5K,1h 34m,Sony Pictures Classics,"An aging jockey (Clifton Collins Jr.), hopes to win one last title for his longtime trainer (Molly Parker), who has acquired what appears to be a championship horse. But the years -- and injuries -- have taken a toll on his body, throwing into question his ability to continue his lifelong passion. And the arrival of a young rookie rider (Moises Arias), who claims to be his son, and whom he takes under his wing, further complicates the path to fulfilling his dream."
FOUND,33%,Fewer than 50 Ratings,--,FOUND,Mystery & Thriller,English,Rex Piano,Sylvia Gasper,,,"Feb 14, 2020",,1h 40m,,"Mystery surrounds the sudden return of a young woman (Tania Saulnier) to her family (Joanna Cassidy, Greg Evigan) 16 years after her kidnapping."
THIEF,--,0 Ratings,--,THIEF,Mystery & Thriller,English,William Graham,Ron Roth,,,,,1h 14m,,"A veteran burglar (Richard Crenna) wants to quit, but he can't until he pays off a gambling debt."
